DMG-P9-NOE (Populous, GER)
DMG-A2RP-UKV (Power Rangers The Movie, UK)
DMG-UH-EUR (Prehistorik Man, UK/GER/FR/IT/ESP/NED)
DMG-NP-NOE (Prince of Persia, GER)
DMG-NP-USA (Prince of Persia, US)
DMG-ACSP-EUR (Probotector 2, UK/GER/FR/NED/ESP/IT)
DMG-A8-NOE (Pugsley’s Scavenger Hunt, UK)
DMG-QT-USA (Q*bert, US)
DMG-QX-NOE (Qix, GER)
DMG-QX-USA (Qix, US)
DMG-Q6-NOE (Quarterback NFL Club, UK/GER/FR/NED)
DMG-QR-USA (Quarth, US)
DMG-P-ACNP-NEU5 (Quest for Camelot, UK/GER/FR/NED/ESP)
DMG-OB-NOE-1 (Raging Fighter, GER)
DMG-OB-USA (Raging Fighter, US)
DMG-AVTP-EUR (Reservoir Rats, UK/FR/GER)
DMG-H5-UKV (Road Rash, UK)
DMG-RH-NOE (Robin Hood Prince of Thieves, GER)
DMG-VR-NOE (Robocop vs. The Terminator, GER)
DMG-CP-USA (Robocop, US)
DMG-VE-USA (Rolan’S Curse, US)
DMG-AORP-EUR (Ronaldo V-Football, UK/GER)
DMG-ARXP-EUR (Rox, UK/FR/GER/IT/ESP/NED)
DMG-RE-NOE (R-Type, GER)
DMG-AVMP-NOE (Rugrats – Die Zeitreise, GER)
DMG-AB8D-NOE (Schiffe versenken, GER)
DMG-ASCE-EUR (Sea Quest DSV, UK/FR/GER)
DMG-VZ-NOE (Sensible Soccer, GER)
DMG-KM-USA (Serpent, US)
DMG-ASWP-NEU5 (Shadowgate Classic, UK/GER/FR/NED/ESP)
DMG-AVXP-EURO (Shamus, UK)
DMG-AHPP-EUU (Shanghai Pocket, GER/IT)
DMG-SW-NOE (Side Pocket, GER)
DMG-SN-NOE (Snoopy’s Magic Show, GER)
G/DMG-YK-NOE-1 (Soccer, GER)
DMG-SS-NOE (Solar Striker, GER)
DMG-SS-USA-1 (Solar Striker, US)
DMG-UX-NOE (Solitaire FunPak, GER)
DMG-UX-USA (Solitaire FunPak, US)
DMG-SC-NOE (Solomon’s Club, GER)
DMG-SP-NOE (Space Invaders, GER)
DMG-E2-NOE (Speedball 2, GER)
DMG-ZS-NOE (Spider-Man 2, UK/GER)
DMG-LQ-UKV (Spider-Man 3, UK/GER/FR/NED)
DMG-XG-NOE (Spider-Man / X-Men, UK/GER/FR/NED)
DMG-S3-NOE (Spot, GER)
DMG-S3-USA (Spot, USA)
DMG-TO-EUR (Spy vs. Spy Operation Booby Trap, GER/UK/FR)
DMG-CA-USA (Square Deal, US)
